relative_path,original_filename,source_folder,resolved_title,resolved_artist,resolved_album,duration_seconds,file_hash,file_size,action,reason,duplicate_status,duplicate_group,representative,representative_reason,bitrate,sample_rate,has_cover,metadata_status
0 - Top 50 Sertanejo/00 - ANA CASTELA   DONA DE MIM (OFICIAL.mp3,00 - ANA CASTELA   DONA DE MIM (OFICIAL.mp3,0 - Top 50 Sertanejo,ANA CASTELA   DONA DE MIM (OFICIAL,,,154,6b4bb30cd5b64a526dd2c5ed7a752df6fbf16ce59cde23623e8e14bb4650da96,2472330,IMPORT,preserved,UNIQUE,,0 - Top 50 Sertanejo/00 - ANA CASTELA   DONA DE MIM (OFICIAL.mp3,"sem erro de leitura; metadata NEEDS_REVIEW; título MEDIUM; artista LOW; sem cover; bitrate 128 kbps; sample rate 32000 Hz; desempate final por relative_path",128000,32000,false,NEEDS_REVIEW
0 - Top 50 Sertanejo/00 - Gusttavo Lima   Canudinho Part Ana Castela   DVD Paraíso Particula[1].mp3,00 - Gusttavo Lima   Canudinho Part Ana Castela   DVD Paraíso Particula[1].mp3,0 - Top 50 Sertanejo,Gusttavo Lima   Canudinho Part Ana Castela   DVD Paraíso Particula[1],,,133,16bbd67933d80501b35e3a153b0ef03f3fb1aad7d1823146894db74e216f664c,2135376,IMPORT,preserved,UNIQUE,,0 - Top 50 Sertanejo/00 - Gusttavo Lima   Canudinho Part Ana Castela   DVD Paraíso Particula[1].mp3,"sem erro de leitura; metadata NEEDS_REVIEW; título MEDIUM; artista LOW; sem cover; bitrate 128 kbps; sample rate 32000 Hz; desempate final por relative_path",128000,32000,false,NEEDS_REVIEW
0 - Top 50 Sertanejo/00 - GUSTTAVO LIMA - MORAR NESSE MOTEL (VÍDEO OFICIAL).MP3,00 - GUSTTAVO LIMA - MORAR NESSE MOTEL (VÍDEO OFICIAL).MP3,0 - Top 50 Sertanejo,MORAR NESSE MOTEL (VÍDEO OFICIAL),GUSTTAVO LIMA,,186,8490ba3676bd1d94507cbf40b34f6fd29275114c5a29b95f8362676c1720c8c0,2971721,IMPORT,preserved,UNIQUE,,0 - Top 50 Sertanejo/00 - GUSTTAVO LIMA - MORAR NESSE MOTEL (VÍDEO OFICIAL).MP3,"sem erro de leitura; metadata INFERRED; título HIGH; artista HIGH; sem cover; bitrate 128 kbps; sample rate 32000 Hz; desempate final por relative_path",128000,32000,false,INFERRED
"0 - Top 50 Sertanejo/00 - MOLETOM - Luan Pereira, Gustavo Mioto.mp3","00 - MOLETOM - Luan Pereira, Gustavo Mioto.mp3",0 - Top 50 Sertanejo,"Luan Pereira, Gustavo Mioto",MOLETOM,,207,c281d8602f99538c12ee893eec8723a99fd63b6435b81ef92843ad560d2691ac,8296365,IMPORT,preserved,UNIQUE,,"0 - Top 50 Sertanejo/00 - MOLETOM - Luan Pereira, Gustavo Mioto.mp3","sem erro de leitura; metadata INFERRED; título HIGH; artista HIGH; sem cover; bitrate 320 kbps; sample rate 48000 Hz; desempate final por relative_path",320000,48000,false,INFERRED
0 - Top 50 Sertanejo/01 - Murilo Huff - Quem tá Pegando.mp3,01 - Murilo Huff - Quem tá Pegando.mp3,0 - Top 50 Sertanejo,Quem tá Pegando,Murilo Huff,Quem tá Pegando,163,9e39fbb92b56fb3308a8318948246c601ae5ce2ae38e475b432d2f9fb4b70d5c,2755290,IMPORT,preserved,UNIQUE,,0 - Top 50 Sertanejo/01 - Murilo Huff - Quem tá Pegando.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/02 - Ana Castela   Solteiro Forçado (DVD Boiadeira Internacional.mp3,02 - Ana Castela   Solteiro Forçado (DVD Boiadeira Internacional.mp3,0 - Top 50 Sertanejo,Ana Castela   Solteiro Forçado (DVD Boiadeira Internacional,,,199,f139cc6734f122f84ad3781e429485200aec8ba887013f82495da717749688be,3185994,IMPORT,preserved,UNIQUE,,0 - Top 50 Sertanejo/02 - Ana Castela   Solteiro Forçado (DVD Boiadeira Internacional.mp3,"sem erro de leitura; metadata NEEDS_REVIEW; título MEDIUM; artista LOW; sem cover; bitrate 128 kbps; sample rate 32000 Hz; desempate final por relative_path",128000,32000,false,NEEDS_REVIEW
0 - Top 50 Sertanejo/02 - Hugo & Guilherme - Mágica (Ao Vivo).mp3,02 - Hugo & Guilherme - Mágica (Ao Vivo).mp3,0 - Top 50 Sertanejo,Mágica (Ao Vivo),Hugo & Guilherme,Mágica (Ao Vivo),172,40258ccad7849e3093519af3fe1e8c4134058aeaefd2a7794dd6291168585875,2893998,IMPORT,preserved,UNIQUE,,0 - Top 50 Sertanejo/02 - Hugo & Guilherme - Mágica (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
"0 - Top 50 Sertanejo/02 - Manu, Simone Mendes - Daqui pra Sempre.mp3","02 - Manu, Simone Mendes - Daqui pra Sempre.mp3",0 - Top 50 Sertanejo,Daqui pra Sempre,Manu,Daqui pra Sempre,203,15fc107fffe34893171880d922f584443f05af7d4bc688118a2e637577ca061a,3415126,IMPORT,preserved,UNIQUE,,"0 - Top 50 Sertanejo/02 - Manu, Simone Mendes - Daqui pra Sempre.mp3","sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/03 - Guilherme & Benuto - Manda um Oi (Ao Vivo).mp3,03 - Guilherme & Benuto - Manda um Oi (Ao Vivo).mp3,0 - Top 50 Sertanejo,Manda um Oi (Ao Vivo),Guilherme & Benuto,Manda um Oi (Ao Vivo),167,8acef5d59c6ca636d9c1a2a5fdb7fa9777f9e26c6b7d3a5bbeb33f6847576eee,2826978,IMPORT,exact_duplicate_representative,EXACT_DUPLICATE,1,0 - Top 50 Sertanejo/03 - Guilherme & Benuto - Manda um Oi (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
0 - Top 50 Sertanejo/04 - Clayton & Romário - Namorando Ou Não (Ao Vivo).mp3,04 - Clayton & Romário - Namorando Ou Não (Ao Vivo).mp3,0 - Top 50 Sertanejo,Namorando Ou Não (Ao Vivo),Clayton & Romário,Namorando Ou Não (Ao Vivo),168,1f002f4b43eab8bc24b4c0fd4fedcddaa7fef8649a030d7fbb55ad0c4b3729ed,2957784,IMPORT,preserved,UNIQUE,,0 - Top 50 Sertanejo/04 - Clayton & Romário - Namorando Ou Não (Ao Vivo).mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 128 kbps; sample rate 44100 Hz; desempate final por relative_path",128000,44100,true,GOOD
