original_filename,source_folder,relative_path,id3_title,id3_artist,id3_album,resolved_title,resolved_artist,resolved_album,title_source,artist_source,album_source,title_confidence,artist_confidence,metadata_status,duration_seconds,bitrate,sample_rate,file_hash,file_size,has_cover,normalized_title,normalized_artist,duplicate_status,duplicate_group,duplicate_confidence,review_reason
Só Quero Te Dizer - Althaír & Alexandre.mp3,13 - Althair e Alexandre,13 - Althair e Alexandre/Só Quero Te Dizer - Althaír & Alexandre.mp3,Só Quero Te Dizer,Althaír & Alexandre,,Só Quero Te Dizer,Althaír & Alexandre,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,180,192000,44100,fa27af2842941f95a27c45f840faf3eae0ebf4a9c14df10bfc27eba93bf7d58a,4385000,true,so quero te dizer,althair e alexandre,UNIQUE,,0,
Sobrou Pra Mim - Althaír & Alexandre.mp3,13 - Althair e Alexandre,13 - Althair e Alexandre/Sobrou Pra Mim - Althaír & Alexandre.mp3,Sobrou Pra Mim,Althaír & Alexandre,,Sobrou Pra Mim,Althaír & Alexandre,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,155,192000,44100,ac17fae778d419b9d591fca7468e4445b7dbd5bb95a55cd292c49da75c572d3c,3766755,true,sobrou pra mim,althair e alexandre,UNIQUE,,0,
Solto Na Cachaça - Althaír & Alexandre.mp3,13 - Althair e Alexandre,13 - Althair e Alexandre/Solto Na Cachaça - Althaír & Alexandre.mp3,Solto Na Cachaça,Althaír & Alexandre,,Solto Na Cachaça,Althaír & Alexandre,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,163,192000,44100,4f0f9b054f3b7ae190421781542c04387d1eee08fdaf1f974e1138ea579fcb84,3936254,true,solto na cachaca,althair e alexandre,UNIQUE,,0,
"Tá Nervoso,...Vai Pescá - Althaír & Alexandre.mp3",13 - Althair e Alexandre,"13 - Althair e Alexandre/Tá Nervoso,...Vai Pescá - Althaír & Alexandre.mp3","Tá Nervoso,...Vai Pescá",Althaír & Alexandre,,"Tá Nervoso,...Vai Pescá",Althaír & Alexandre,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,179,192000,44100,1f915c0318df0786745d17fcb5a08d3e1747485add64f97c722b26a8f41e6143,4360765,true,ta nervoso vai pesca,althair e alexandre,UNIQUE,,0,
Taxi - Althaír & Alexandre.mp3,13 - Althair e Alexandre,13 - Althair e Alexandre/Taxi - Althaír & Alexandre.mp3,Taxi,Althaír & Alexandre,,Taxi,Althaír & Alexandre,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,232,192000,44100,29b624afc89bc68d6a5f096efa3630575a6bbe69628833e6f1336e794ae7a9ce,5637824,true,taxi,althair e alexandre,LIKELY_DUPLICATE,26,0.96,
Táxi - Althaír & Alexandre.mp3,13 - Althair e Alexandre,13 - Althair e Alexandre/Táxi - Althaír & Alexandre.mp3,Táxi,Althaír & Alexandre,,Táxi,Althaír & Alexandre,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,232,192000,44100,1773761fb3c3173b82e4f7dd2e408356c9aa12c956f058768b841c70b3e96519,5629082,true,taxi,althair e alexandre,LIKELY_DUPLICATE,26,0.96,
"Tô Apaixonado - Ao Vivo - Althaír & Alexandre, Forró Namoro Novo.mp3",13 - Althair e Alexandre,"13 - Althair e Alexandre/Tô Apaixonado - Ao Vivo - Althaír & Alexandre, Forró Namoro Novo.mp3",Tô Apaixonado - Ao Vivo,"Althaír & Alexandre, Forró Namoro Novo",,Tô Apaixonado - Ao Vivo,"Althaír & Alexandre, Forró Namoro Novo",,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,211,192000,44100,10e6726d661eaeb723f50964dc0bb6e3ae387f1fda3de5cdc96e3491abc75410,5112486,true,to apaixonado ao vivo,althair e alexandre forro namoro novo,UNIQUE,,0,
Tô Dodói - Althaír & Alexandre.mp3,13 - Althair e Alexandre,13 - Althair e Alexandre/Tô Dodói - Althaír & Alexandre.mp3,Tô Dodói,Althaír & Alexandre,,Tô Dodói,Althaír & Alexandre,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,163,192000,44100,519432f24ac37af3875e036649d5e44e6e1dba1ebc93d704166ac2b6da198f8b,3969533,true,to dodoi,althair e alexandre,UNIQUE,,0,
Uai Sô! - Althaír & Alexandre.mp3,13 - Althair e Alexandre,13 - Althair e Alexandre/Uai Sô! - Althaír & Alexandre.mp3,Uai Sô!,Althaír & Alexandre,,Uai Sô!,Althaír & Alexandre,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,183,192000,44100,1fe4f861d5c340f4a28ec2dcc07e33585a6a66c8707fd04f38bbfabe531e0891,4448906,true,uai so,althair e alexandre,UNIQUE,,0,
Um Novo Cara - Althaír & Alexandre [2NQAlKUh0mjvBhZ9aijXyq].mp3,13 - Althair e Alexandre,13 - Althair e Alexandre/Um Novo Cara - Althaír & Alexandre [2NQAlKUh0mjvBhZ9aijXyq].mp3,Um Novo Cara,Althaír & Alexandre,,Um Novo Cara,Althaír & Alexandre,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,224,192000,44100,c4cc46fa80377be92f7d928b7f5e4f7980a35dcc16872ffbf298e9a9ad4fb3cd,5421373,true,um novo cara,althair e alexandre,UNIQUE,,0,
Um Novo Cara - Althaír & Alexandre.mp3,13 - Althair e Alexandre,13 - Althair e Alexandre/Um Novo Cara - Althaír & Alexandre.mp3,Um Novo Cara,Althaír & Alexandre,,Um Novo Cara,Althaír & Alexandre,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,176,192000,44100,1febb88658ae00cce005ce8088730328d53c9f3e83456c12ee3fceed11aa1f90,4260071,true,um novo cara,althair e alexandre,UNIQUE,,0,
Vai Se Danar - Althaír & Alexandre.mp3,13 - Althair e Alexandre,13 - Althair e Alexandre/Vai Se Danar - Althaír & Alexandre.mp3,Vai Se Danar,Althaír & Alexandre,,Vai Se Danar,Althaír & Alexandre,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,168,192000,44100,14262182e62126cb9b4fd607710dafdc39292b3e657347e41e1de26a1a7d5bed,4066153,true,vai se danar,althair e alexandre,UNIQUE,,0,
Você Marcou Pra Mim - Althaír & Alexandre.mp3,13 - Althair e Alexandre,13 - Althair e Alexandre/Você Marcou Pra Mim - Althaír & Alexandre.mp3,Você Marcou Pra Mim,Althaír & Alexandre,,Você Marcou Pra Mim,Althaír & Alexandre,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,217,192000,44100,8c8d6643872d51ff7bfcc817767f16588345b08168295a8d33ab8f540db4fc30,5260689,true,voce marcou pra mim,althair e alexandre,UNIQUE,,0,
"Alcoonteceu - Fiduma & Jeca, Pedro Paulo & Alex.mp3",14 - Pedro Paulo e Alex,"14 - Pedro Paulo e Alex/Alcoonteceu - Fiduma & Jeca, Pedro Paulo & Alex.mp3",Alcoonteceu,"Fiduma & Jeca, Pedro Paulo & Alex",,Alcoonteceu,"Fiduma & Jeca, Pedro Paulo & Alex",,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,186,192000,44100,6b0091d03f91fc90a5a70162033e91a7fb3d68f9c6a6fc5c1ad11122c7608a6c,4528584,true,alcoonteceu,fiduma e jeca pedro paulo e alex,UNIQUE,,0,
Amores Impossíveis - Ao Vivo - Pedro Paulo & Alex.mp3,14 - Pedro Paulo e Alex,14 - Pedro Paulo e Alex/Amores Impossíveis - Ao Vivo - Pedro Paulo & Alex.mp3,Amores Impossíveis - Ao Vivo,Pedro Paulo & Alex,,Amores Impossíveis - Ao Vivo,Pedro Paulo & Alex,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,161,192000,44100,972258ec5f6047b54f29cc5cb8eb94e17f438b8d276c6b0a9b26b2ebef6588af,3901391,true,amores impossiveis ao vivo,pedro paulo e alex,UNIQUE,,0,
As Novinhas Tão Sensacional - Pedro Paulo & Alex.mp3,14 - Pedro Paulo e Alex,14 - Pedro Paulo e Alex/As Novinhas Tão Sensacional - Pedro Paulo & Alex.mp3,As Novinhas Tão Sensacional,Pedro Paulo & Alex,,As Novinhas Tão Sensacional,Pedro Paulo & Alex,,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,197,192000,44100,35caba7fabb3ba803d4b6e40d77f3eaae3fa7bf64b125c639786d69b03b8694a,4764984,true,as novinhas tao sensacional,pedro paulo e alex,UNIQUE,,0,
"Caipira Perdeu - João Pedro e André, Augusto & Atílio.mp3",14 - Pedro Paulo e Alex,"14 - Pedro Paulo e Alex/Caipira Perdeu - João Pedro e André, Augusto & Atílio.mp3",Caipira Perdeu,"João Pedro e André, Augusto & Atílio",,Caipira Perdeu,"João Pedro e André, Augusto & Atílio",,ID3,ID3,UNKNOWN,HIGH,HIGH,GOOD,158,192000,44100,4ba321931e0cf7d560550c0637117fc395fc2466b616c514a2a12818b6b66f1c,3854492,true,caipira perdeu,joao pedro e andre augusto e atilio,LIKELY_DUPLICATE,24,0.96,
