relative_path,original_filename,source_folder,resolved_title,resolved_artist,resolved_album,duration_seconds,file_hash,file_size,action,reason,duplicate_status,duplicate_group,representative,representative_reason,bitrate,sample_rate,has_cover,metadata_status
Sunnify/01 - Gino e Geno/A Galera Do Chapéu - Ao Vivo - Gino & Geno.mp3,A Galera Do Chapéu - Ao Vivo - Gino & Geno.mp3,Sunnify/01 - Gino e Geno,A Galera Do Chapéu - Ao Vivo,Gino & Geno,,195,097f6c3c9a0b4264ccc2b612c2abecb932862bd52f3d9b7566c78e802977fdbb,4737761,IMPORT,preserved,UNIQUE,,Sunnify/01 - Gino e Geno/A Galera Do Chapéu - Ao Vivo - Gino & Geno.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 192 kbps; sample rate 44100 Hz; desempate final por relative_path",192000,44100,true,GOOD
Sunnify/01 - Gino e Geno/A Mulher E A Bebida - Gino & Geno.mp3,A Mulher E A Bebida - Gino & Geno.mp3,Sunnify/01 - Gino e Geno,A Mulher E A Bebida,Gino & Geno,,240,ce98441145bac2877d4701d9c6c8ba780454a720a41338cbd88c1d2c3c23429e,5816381,IMPORT,preserved,UNIQUE,,Sunnify/01 - Gino e Geno/A Mulher E A Bebida - Gino & Geno.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 192 kbps; sample rate 44100 Hz; desempate final por relative_path",192000,44100,true,GOOD
Sunnify/01 - Gino e Geno/Acidente De Amor - Ao Vivo - Gino & Geno.mp3,Acidente De Amor - Ao Vivo - Gino & Geno.mp3,Sunnify/01 - Gino e Geno,Acidente De Amor - Ao Vivo,Gino & Geno,,238,1365724cbec5c6c31bef016be11f67aeba60c59f62624aee63659505ccb319fe,5768849,IMPORT,preserved,UNIQUE,,Sunnify/01 - Gino e Geno/Acidente De Amor - Ao Vivo - Gino & Geno.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 192 kbps; sample rate 44100 Hz; desempate final por relative_path",192000,44100,true,GOOD
Sunnify/01 - Gino e Geno/Agita Aí - Ao Vivo - Gino & Geno.mp3,Agita Aí - Ao Vivo - Gino & Geno.mp3,Sunnify/01 - Gino e Geno,Agita Aí - Ao Vivo,Gino & Geno,,199,4be42d7d3dc935409a7b0cd26508b708fc39d37556b24ff138d53ce5d107dc52,4849448,IMPORT,preserved,UNIQUE,,Sunnify/01 - Gino e Geno/Agita Aí - Ao Vivo - Gino & Geno.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 192 kbps; sample rate 44100 Hz; desempate final por relative_path",192000,44100,true,GOOD
Sunnify/01 - Gino e Geno/Aí É Só Bebendo - Gino & Geno.mp3,Aí É Só Bebendo - Gino & Geno.mp3,Sunnify/01 - Gino e Geno,Aí É Só Bebendo,Gino & Geno,,196,8dd08ef6c41e9c34d55387fec268406d05da0f69533748dcbea610d6fc3f0bce,4748319,IMPORT,preserved,UNIQUE,,Sunnify/01 - Gino e Geno/Aí É Só Bebendo - Gino & Geno.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 192 kbps; sample rate 44100 Hz; desempate final por relative_path",192000,44100,true,GOOD
"Sunnify/01 - Gino e Geno/Arrependida - Ao Vivo - Gino & Geno, Matao, Monteiro.mp3","Arrependida - Ao Vivo - Gino & Geno, Matao, Monteiro.mp3",Sunnify/01 - Gino e Geno,Arrependida - Ao Vivo,"Gino & Geno, Matao, Monteiro",,200,38c27331de11d0317ea5e68cf748db754375fbc89ddd4a6780a6c983ff5c7d48,4865805,IMPORT,preserved,UNIQUE,,"Sunnify/01 - Gino e Geno/Arrependida - Ao Vivo - Gino & Geno, Matao, Monteiro.mp3","sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 192 kbps; sample rate 44100 Hz; desempate final por relative_path",192000,44100,true,GOOD
Sunnify/01 - Gino e Geno/Bebo Pa Carai - Ao Vivo - Gino & Geno.mp3,Bebo Pa Carai - Ao Vivo - Gino & Geno.mp3,Sunnify/01 - Gino e Geno,Bebo Pa Carai - Ao Vivo,Gino & Geno,,224,b2ea25c6eb7b7eccfbabb0f026366caa82d7ba79103bd9aac64f7f604f8b8ac8,5442510,IMPORT,preserved,UNIQUE,,Sunnify/01 - Gino e Geno/Bebo Pa Carai - Ao Vivo - Gino & Geno.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 192 kbps; sample rate 44100 Hz; desempate final por relative_path",192000,44100,true,GOOD
Sunnify/01 - Gino e Geno/Bebo Pa Carai - Gino & Geno.mp3,Bebo Pa Carai - Gino & Geno.mp3,Sunnify/01 - Gino e Geno,Bebo Pa Carai,Gino & Geno,,224,4a08f79bf0274fffaedb61835345baa59263d4f3155cd210fc8338743dd1d6fa,5429160,IMPORT,preserved,UNIQUE,,Sunnify/01 - Gino e Geno/Bebo Pa Carai - Gino & Geno.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 192 kbps; sample rate 44100 Hz; desempate final por relative_path",192000,44100,true,GOOD
Sunnify/01 - Gino e Geno/Bola Da Vez - Gino & Geno.mp3,Bola Da Vez - Gino & Geno.mp3,Sunnify/01 - Gino e Geno,Bola Da Vez,Gino & Geno,,194,98e18717ad809cbbb8a00b0a3d5f8426ce3fb70d84216069d383b17ecbc1bf20,4702937,IMPORT,preserved,UNIQUE,,Sunnify/01 - Gino e Geno/Bola Da Vez - Gino & Geno.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 192 kbps; sample rate 44100 Hz; desempate final por relative_path",192000,44100,true,GOOD
Sunnify/01 - Gino e Geno/Cara Boa - Gino & Geno.mp3,Cara Boa - Gino & Geno.mp3,Sunnify/01 - Gino e Geno,Cara Boa,Gino & Geno,,207,330f93ec03eca9a5fd95caacd74852aaef3bdfed36135329d1549b5f55692a90,5016840,IMPORT,preserved,UNIQUE,,Sunnify/01 - Gino e Geno/Cara Boa - Gino & Geno.mp3,"sem erro de leitura; metadata GOOD; título HIGH; artista HIGH; cover presente; bitrate 192 kbps; sample rate 44100 Hz; desempate final por relative_path",192000,44100,true,GOOD
